name,mfg,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,cups,rating,address
Oatmeal Raisin Crisp,G,130,3,2,170,1.5,13.5,10,120,25,0.5,30.450843,934 Green Way
Post Nat. Raisin Bran,P,120,3,1,200,6,11,14,260,25,0.67,37.840594,776 Line Lane
Product 19,K,100,3,0,320,1,20,3,45,100,1,41.50354,109 Left Dr
Puffed Rice,Q,50,1,0,0,0,13,0,15,0,1,60.756112,345 Red Lane Rd
Puffed Wheat,Q,50,2,0,0,1,10,0,50,0,1,63.005645,345 Red Lane Rd
Quaker Oat Squares,Q,100,4,1,135,2,14,6,110,25,0.5,49.511874,345 Red Lane Rd
Quaker Oatmeal,Q,100,5,2,0,2.7,-1,-1,110,0,0.67,50.828392,345 Red Lane Rd
Raisin Bran,K,120,3,1,210,5,14,12,240,25,0.75,39.259197,109 Left Dr
Raisin Nut Bran,G,100,3,2,140,2.5,10.5,8,140,25,0.5,39.7034,934 Green Way
Raisin Squares,K,90,2,0,0,2,15,6,110,25,0.5,55.333142,109 Left Dr
Rice Chex,R,110,1,0,240,0,23,2,30,25,1.13,41.998933,678 Junior Dr
Rice Krispies,K,110,2,0,290,0,22,3,35,25,1,40.560159,109 Left Dr
Shredded Wheat,N,80,2,0,0,3,16,0,95,0,1,68.235885,123 Circle Way
Shredded Wheat 'n'Bran,N,90,3,0,0,4,19,0,140,0,0.67,74.472949,123 Circle Way
Shredded Wheat spoon size,N,90,3,0,0,3,20,0,120,0,0.67,72.801787,123 Circle Way
Smacks,K,110,2,1,70,1,9,15,40,25,0.75,31.230054,109 Left Dr
Special K,K,110,6,0,230,1,16,3,55,25,1,53.131324,109 Left Dr
Strawberry Fruit Wheats,N,90,2,0,15,3,15,5,90,25,1,59.363993,123 Circle Way
Total Corn Flakes,G,110,2,1,200,0,21,3,35,100,1,38.839746,934 Green Way
Total Raisin Bran,G,140,3,1,190,4,15,14,230,100,1,28.592785,934 Green Way
Total Whole Grain,G,100,3,1,200,3,16,3,110,100,1,46.658844,934 Green Way
Triples,G,110,2,1,250,0,21,3,60,25,0.75,39.106174,934 Green Way
Trix,G,110,1,1,140,0,13,12,25,25,1,27.753301,934 Green Way
Wheat Chex,R,100,3,1,230,3,17,3,115,25,0.67,49.787445,678 Junior Dr
Wheaties,G,100,3,1,200,3,17,3,110,25,1,51.592193,934 Green Way
Wheaties Honey Gold,G,110,2,1,200,1,16,8,60,25,0.75,36.187559,934 Green Way
